folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,median_lid_clean,median_lid_backdoor,median_lid_ratio,min_lid_ratio,final_direction_norm,rank_ratio_depth,error
swin_cifar100_adaptive_blend_0_1,swin,cifar100,adaptive_blend,0.1,0.992797669808998,24,0.6083609454010109,0.8291407342288599,0.5688040725243766,0.5688040725243766,1.0,0.9987159999999999,0.66535884141922,14.26917839050293,29.20018196105957,2.015322254483091,1.7820696526180115,42.41759490966797,0.16666666666666666,
swin_cifar100_badnet_a2o_0_005,swin,cifar100,badnet_a2o,0.005,0.9353519329866566,24,0.6669550398541677,0.6669550398541677,0.5572657348378598,0.5572657348378598,1.0,1.0,0.650060772895813,14.077787399291992,16.40390110015869,1.0396144650442667,0.9811792368248775,47.755367279052734,1.0,
swin_cifar100_badnet_a2o_0_1_evade_l1,swin,cifar100,badnet_a2o,0.1,0.9989894045586216,24,0.9441562284078179,1.0531607410357517,0.8060974999611455,0.8060974999611455,1.0,1.0,0.5482027530670166,13.671258926391602,15.599788188934326,1.0108401668736842,0.9897503362119179,35.41552734375,0.9583333333333334,
swin_cifar100_blend_0_05_evade_l1,swin,cifar100,blend,0.05,0.9935866113782372,24,0.02232246742079793,0.15984291277352314,0.15436516175492304,0.15436516175492304,1.0,0.999976,0.5678349137306213,14.424917221069336,25.727455139160156,1.9779586832442029,1.3401971884456518,34.96903991699219,0.875,
swin_cifar100_bpp_0_05,swin,cifar100,bpp,0.05,0.9986887687363648,24,0.025263469265466198,0.12394024520666706,0.09574853253203253,0.10195030102114996,1.0,1.0,0.5262587666511536,14.080785274505615,76.47838973999023,5.206212486103492,1.3542928365287377,93.27075958251953,0.875,
swin_cifar100_lc_0_05,swin,cifar100,lc,0.05,0.9149864100125744,24,0.655000957776161,0.7320585643099874,0.6795259464266242,0.6795259464266242,1.0,0.99988,0.08729085326194763,14.284093856811523,20.120482444763184,1.2239452564081272,1.0153920400402228,43.20182800292969,0.875,
swin_cifar100_lf_0_01_evade_l1,swin,cifar100,lf,0.01,0.9082475560569524,24,0.08484060925718594,0.10163572159926612,0.16061785179790783,0.16061785179790783,0.999612,0.9949,0.4544089436531067,14.252978324890137,20.533889770507812,1.2674819060524611,1.0011873430818998,45.90803146362305,0.9583333333333334,
swin_cifar100_sig_0_05_evade_l1,swin,cifar100,sig,0.05,0.6540540861945601,24,0.5855996614893042,0.7581682115379069,0.6719018132935229,0.7048825860312942,0.999852,0.987624,0.053025539964437485,14.394155025482178,21.766695022583008,1.5454699885385588,1.0609110932559267,11.916624069213867,0.8333333333333334,
swin_cifar100_wanet_0_01_evade_l1,swin,cifar100,wanet,0.01,0.5790692005910876,24,0.8233464087552609,0.8422420370466601,0.9117194183227197,0.9304523444428808,0.829908,0.7021999999999999,0.5886377692222595,14.839325904846191,15.584239959716797,1.031200432637487,0.9868592334062736,6.282824993133545,0.9583333333333334,
swin_cifar10_adaptive_blend_0_1,swin,cifar10,adaptive_blend,0.1,0.990371875,24,0.6364258470476973,1.1089036953466822,0.6018861433549415,0.6018861433549415,1.0,0.999,0.6997025012969971,13.245390892028809,40.36345100402832,3.218266631489966,2.5118456113880376,39.3618049621582,0.16666666666666666,
swin_cifar10_badnet_a2o_0_05,swin,cifar10,badnet_a2o,0.05,0.9939670331790124,24,0.36875197370944207,0.3812712389050278,0.3123352804456363,0.3123352804456363,1.0,0.99812,0.8606529235839844,12.741182327270508,15.709585666656494,1.1140019888909305,0.9929066338298196,38.143741607666016,0.9583333333333334,
swin_cifar10_bpp_0_005,swin,cifar10,bpp,0.005,0.9952341049382716,24,0.10753310359948356,0.21342362293817274,0.06540156671440997,0.06540156671440997,1.0,0.99724,0.8252450227737427,12.74231243133545,35.94082450866699,2.7123821833582373,1.2648447176713726,59.99851989746094,0.7916666666666666,
