folder,num_probes,best_single,worst_single,inverted_probes,union_min,union_median,union_min_tpr,union_median_tpr,union_min_fpr,union_median_fpr
swin_cifar100_adaptive_blend_0_01_evade_l1,4,0.8233020688566013,0.5037559775742262,0,0.736088968730259,0.7685850600126343,0.6040429472923279,0.6619077920913696,0.23637500405311584,0.2475000023841858
swin_cifar100_adaptive_blend_0_05_evade_l1,4,0.9439058670246367,0.17827783480732784,1,0.9178594125078963,0.8348018556538219,0.8722678422927856,0.7866076827049255,0.2567499876022339,0.24412499368190765
swin_cifar100_adaptive_blend_0_1_evade_l1,4,0.9375276295009475,0.11275330069488315,1,0.8752318777637398,0.9408123341756159,0.9725837111473083,0.970562219619751,0.23862500488758087,0.24150000512599945
swin_cifar100_badnet_a2a_0_01_evade_l1,4,0.8115370624999999,0.41545235156250004,1,0.6313122265625,0.7438970625,0.421875,0.5797500014305115,0.25837498903274536,0.2653749883174896
swin_cifar100_badnet_a2a_0_05_evade_l1,4,0.49098284375000006,0.32413596875,4,0.3697376484375,0.4133923203125,0.10862500220537186,0.13875000178813934,0.24050000309944153,0.2516250014305115
swin_cifar100_badnet_a2a_0_1_evade_l1,4,0.5874546953125,0.32822646093749996,3,0.455210796875,0.456814828125,0.1588750034570694,0.16387499868869781,0.25475001335144043,0.2686249911785126
swin_cifar100_badnet_a2o_0_01_evade_l1,4,0.9115815066329753,0.6925950568540746,0,0.8771288771320279,0.8965377368919774,0.8234996795654297,0.9468098282814026,0.23025000095367432,0.2447499930858612
swin_cifar100_badnet_a2o_0_05_evade_l1,4,0.9513531822488944,0.7179443619709412,0,0.8774636291850916,0.8072647425773847,0.7857233285903931,0.8635502457618713,0.25,0.25212499499320984
swin_cifar100_badnet_a2o_0_1_evade_l1,4,0.9765718414403032,0.005235233733417571,1,0.9582462728995578,0.9756428616550853,1.0,1.0,0.2643750011920929,0.25037500262260437
swin_cifar100_blend_0_01_evade_l1,4,0.9194853600758054,0.4725670799115604,1,0.751802384712571,0.8599039639924195,0.5570436120033264,0.990903377532959,0.24975000321865082,0.27412500977516174
swin_cifar100_blend_0_05_evade_l1,4,0.9922834333543903,0.5555395293746053,0,0.9789829358812382,0.9612297852179406,0.9988629221916199,0.9977258443832397,0.2473749965429306,0.2591249942779541
swin_cifar100_blend_0_1_evade_l1,4,0.9391469204042957,0.4701708149084018,1,0.8422746446620342,0.9188217861655086,0.9959570169448853,0.9988629221916199,0.24412499368190765,0.24437500536441803
swin_cifar100_bpp_0_01_evade_l1,4,0.9411670404295641,0.7015358259633607,0,0.9039739339861023,0.9160484523057486,0.9320278167724609,0.9399873614311218,0.23925000429153442,0.2409999966621399
swin_cifar100_bpp_0_05_evade_l1,4,0.9573001816171824,0.33452432090966516,1,0.8861790192672141,0.9548051484523059,0.9943146109580994,0.993682861328125,0.2551249861717224,0.2592499852180481
swin_cifar100_bpp_0_1_evade_l1,4,0.978531593493367,0.0039239024005053675,1,0.952198894504106,0.9712362523689199,0.9988629221916199,0.9979785084724426,0.25312501192092896,0.25949999690055847
swin_cifar100_lc_0_01_evade_l1,4,0.7590567593177511,0.41383401768793426,2,0.7158885502210992,0.6864601784586228,0.5872394442558289,0.5286165475845337,0.2593750059604645,0.26225000619888306
swin_cifar100_lc_0_05_evade_l1,4,0.5980821304485155,0.3618356838281743,1,0.5072122473152243,0.5201182959570436,0.25596967339515686,0.13367024064064026,0.2475000023841858,0.2588750123977661
swin_cifar100_lc_0_1_evade_l1,4,0.5889945041061275,0.43103220151610866,2,0.4904766898294378,0.4824291377132028,0.2568540871143341,0.208970308303833,0.24400000274181366,0.2696250081062317
