folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,final_direction_norm,rank_ratio_depth,error
swin_cifar100_adaptive_blend_0_01,swin,cifar100,adaptive_blend,0.01,0.8175845458438102,24,0.5936435771553107,0.8513707265223983,0.6498744156170978,0.6498744156170978,1.0,0.993104,0.533704936504364,26.86379051208496,0.16666666666666666,
swin_cifar100_adaptive_blend_0_01_evade_l1,swin,cifar100,adaptive_blend,0.01,0.8653071145609403,24,0.5086493843725792,0.7030195082565059,0.47181336396772156,0.5609983399309116,1.0,0.996132,0.5253033638000488,34.96001052856445,0.9583333333333334,
swin_cifar100_adaptive_blend_0_05,swin,cifar100,adaptive_blend,0.05,0.9760265039672548,24,0.5825346929618587,0.8433164981631365,0.5249687922036829,0.5249687922036829,1.0,0.99982,0.6613765954971313,48.60194778442383,0.16666666666666666,
swin_cifar100_adaptive_blend_0_05_evade_l1,swin,cifar100,adaptive_blend,0.05,0.96283524928678,24,0.11205573041672377,0.5862440837590307,0.38568526576235357,0.42522963242960793,1.0,0.998912,0.49410074949264526,38.21147918701172,0.7083333333333334,
swin_cifar100_adaptive_blend_0_1,swin,cifar100,adaptive_blend,0.1,0.992797669808998,24,0.6083609454010109,0.8291407342288601,0.5688040725243766,0.5688040725243766,1.0,0.9987159999999999,0.66535884141922,42.41759490966797,0.16666666666666666,
swin_cifar100_adaptive_blend_0_1_evade_l1,swin,cifar100,adaptive_blend,0.1,0.9915250675508772,24,0.48421818319993004,0.8007809986461101,0.4862624662519883,0.4979919825767957,1.0,0.996488,0.6541815400123596,25.159420013427734,0.75,
swin_cifar100_badnet_a2a_0_01_evade_l1,swin,cifar100,badnet_a2a,0.01,0.8966378828125,24,0.5059676703297198,0.577429900003653,0.6788762246232197,0.6788762246232197,1.0,0.9983960000000001,0.0944809764623642,19.041105270385742,0.9583333333333334,
swin_cifar100_badnet_a2a_0_05_evade_l1,swin,cifar100,badnet_a2a,0.05,0.6916117265624999,24,0.6310480362180533,0.6310480362180533,0.666220764647703,0.666220764647703,1.0,0.99122,0.06437404453754425,21.341291427612305,1.0,
swin_cifar100_badnet_a2a_0_1,swin,cifar100,badnet_a2a,0.1,0.550840015625,24,0.5903788910590756,0.6241712434127844,0.7608944962470308,0.7608944962470308,1.0,0.9950399999999999,0.053367987275123596,19.130680084228516,0.9166666666666666,
swin_cifar100_badnet_a2a_0_1_evade_l1,swin,cifar100,badnet_a2a,0.1,0.645211515625,24,0.5116832187120784,0.6167516625174444,0.7024599874808126,0.7103894481516337,1.0,0.9977280000000001,0.15759454667568207,19.568944931030273,0.9583333333333334,
swin_cifar100_badnet_a2o_0_005,swin,cifar100,badnet_a2o,0.005,0.9353519329866566,24,0.6669550398541674,0.6669550398541674,0.5572657348378598,0.5572657348378598,1.0,1.0,0.650060772895813,47.755367279052734,1.0,
swin_cifar100_badnet_a2o_0_01,swin,cifar100,badnet_a2o,0.01,0.99917298810921,24,0.6128978436628892,0.6128978436628892,0.45476406967859023,0.45476406967859023,1.0,1.0,0.695600688457489,49.205448150634766,1.0,
swin_cifar100_badnet_a2o_0_01_evade_l1,swin,cifar100,badnet_a2o,0.01,0.964951927240193,24,0.5990439839281995,0.7394769354322693,0.6674917900864261,0.6902351456902082,1.0,1.0,0.48776572942733765,100.44851684570312,0.9583333333333334,
swin_cifar100_badnet_a2o_0_05,swin,cifar100,badnet_a2o,0.05,0.999583493123598,24,0.61572026071015,0.61572026071015,0.4464119373376811,0.4464119373376811,1.0,1.0,0.5966398119926453,49.83181381225586,1.0,
swin_cifar100_badnet_a2o_0_05_evade_l1,swin,cifar100,badnet_a2o,0.05,0.9832283872110856,24,0.690442546225117,0.690442546225117,0.6545431787821115,0.6545431787821115,1.0,1.0,0.27800461649894714,37.152915954589844,1.0,
swin_cifar100_badnet_a2o_0_1,swin,cifar100,badnet_a2o,0.1,0.9997775001207156,24,0.6383248119507547,0.6383248119507547,0.43422430077390084,0.43422430077390084,1.0,1.0,0.5984200239181519,52.707244873046875,1.0,
swin_cifar100_badnet_a2o_0_1_evade_l1,swin,cifar100,badnet_a2o,0.1,0.9989894045586216,24,0.9441562284078187,1.0531607410357524,0.8060974999616671,0.8060974999616671,1.0,1.0,0.5482027530670166,35.41552734375,0.9583333333333334,
swin_cifar100_benign,swin,cifar100,benign,0.0,0.511202579204426,24,0.9892503135546555,1.0098447887752178,0.9941525890688064,0.9941525890688064,0.7894200000000001,0.606016,0.038919609040021896,2.345686435699463,0.5416666666666666,
swin_cifar100_blend_0_005,swin,cifar100,blend,0.005,0.9953054185560494,24,0.1854194680602495,0.24864020226048253,0.18892575854834798,0.18892575854834798,1.0,0.999984,0.6485288143157959,70.13980865478516,0.8333333333333334,
swin_cifar100_blend_0_01,swin,cifar100,blend,0.01,0.9977318708051316,24,0.23809004091122182,0.3443892980905791,0.22085397348354716,0.22085397348354716,1.0,0.999976,0.6544728875160217,58.87335205078125,0.875,
swin_cifar100_blend_0_01_evade_l1,swin,cifar100,blend,0.01,0.9896522631289736,24,0.02667692105766242,0.11988821788983774,0.1349748754044805,0.1349748754044805,1.0,1.0,0.48750895261764526,32.59812927246094,0.875,
swin_cifar100_blend_0_05,swin,cifar100,blend,0.05,0.9996665933726514,24,0.17767050447968485,0.2653621384013524,0.19420361291765378,0.19420361291765378,1.0,1.0,0.5626357197761536,67.82703399658203,0.875,
swin_cifar100_blend_0_05_evade_l1,swin,cifar100,blend,0.05,0.9935866113782372,24,0.022322467420797926,0.15984291277352314,0.15436516175492304,0.15436516175492304,1.0,0.999976,0.5678349137306213,34.96903991699219,0.875,
swin_cifar100_blend_0_1,swin,cifar100,blend,0.1,0.998941437549708,24,0.18572996306158496,0.31414377640683694,0.23561347271495797,0.23561347271495797,1.0,1.0,0.5230461955070496,56.024410247802734,0.875,
swin_cifar100_blend_0_1_evade_l1,swin,cifar100,blend,0.1,0.996491049683366,24,0.06817682670188062,0.13104278831797378,0.09617704084682814,0.1032011356873535,1.0,0.999992,0.6003776788711548,30.517547607421875,0.9583333333333334,
swin_cifar100_bpp_0_005,swin,cifar100,bpp,0.005,0.9878352871974776,24,0.06062403032414652,0.11381346294933888,0.11175243432521499,0.11175243432521499,1.0,0.9988520000000001,0.7696125507354736,74.74168395996094,0.875,
swin_cifar100_bpp_0_01,swin,cifar100,bpp,0.01,0.997053604529171,24,0.039372731964573325,0.10619279043389153,0.08562512533043708,0.08562512533043708,0.999992,0.999624,0.6667216420173645,77.77666473388672,0.875,
swin_cifar100_bpp_0_01_evade_l1,swin,cifar100,bpp,0.01,0.9778524507669734,24,0.03989079462278179,0.05283638696189002,0.08695182313453421,0.08695182313453421,0.999952,0.995352,0.44125908613204956,65.9460220336914,0.9583333333333334,
swin_cifar100_bpp_0_05,swin,cifar100,bpp,0.05,0.9986887687363648,24,0.025263469265466208,0.12394024520666702,0.09574853253203253,0.10195030102114996,1.0,1.0,0.5262587666511536,93.27075958251953,0.875,
swin_cifar100_bpp_0_05_evade_l1,swin,cifar100,bpp,0.05,0.9954053830796176,24,0.08170577909559897,0.11198088564229668,0.10530522775032286,0.10530522775032286,1.0,0.99988,0.39244717359542847,51.880706787109375,0.8333333333333334,
swin_cifar100_bpp_0_1,swin,cifar100,bpp,0.1,0.9981324392261588,24,0.07251149589820684,0.2163826776833195,0.11249237932869488,0.12978949656961777,1.0,0.99996,0.5764237642288208,70.69664001464844,0.875,
swin_cifar100_bpp_0_1_evade_l1,swin,cifar100,bpp,0.1,0.9975162347574054,24,0.1839008615106449,0.21957155088539895,0.1444781130319164,0.1444781130319164,1.0,0.999964,0.5445130467414856,42.761077880859375,0.9166666666666666,
swin_cifar100_lc_0_01,swin,cifar100,lc,0.01,0.9965792259752924,24,0.5033786995445626,0.5991366748767557,0.49021982510761636,0.49021982510761636,1.0,1.0,0.02196672558784485,48.94458770751953,0.875,
swin_cifar100_lc_0_01_evade_l1,swin,cifar100,lc,0.01,0.7710720227432261,24,0.31136204936932027,0.6230038586394399,0.4961062578688154,0.6703082674344398,1.0,1.0,0.09976851940155029,27.339012145996094,0.9583333333333334,
swin_cifar100_lc_0_05,swin,cifar100,lc,0.05,0.9149864100125744,24,0.655000957776161,0.7320585643099875,0.6795259464266242,0.6795259464266242,1.0,0.99988,0.08729085326194763,43.20182800292969,0.875,
swin_cifar100_lc_0_05_evade_l1,swin,cifar100,lc,0.05,0.8951876559576262,24,0.46368472693062635,0.552190941740634,0.4887835677254293,0.5089445341152213,1.0,0.999992,0.35204339027404785,25.926721572875977,0.9583333333333334,
swin_cifar100_lc_0_1,swin,cifar100,lc,0.1,0.8970685533158091,24,0.6470883152345286,0.7171183460120542,0.6806429191098128,0.6806429191098128,1.0,0.999912,0.05188489705324173,41.90990447998047,0.875,
swin_cifar100_lc_0_1_evade_l1,swin,cifar100,lc,0.1,0.6970030037244268,24,0.3832324016834554,0.5777058612927451,0.6593679183913311,0.721197165905506,0.999992,0.9934240000000001,0.4769569933414459,26.954299926757812,0.9583333333333334,
swin_cifar100_lf_0_005,swin,cifar100,lf,0.005,0.9739695732731976,24,0.09541166028062034,0.18807204654517712,0.19122076011835332,0.20914606161880414,0.9995719999999999,0.9961800000000001,0.5858762860298157,56.757686614990234,0.9166666666666666,
swin_cifar100_lf_0_01,swin,cifar100,lf,0.01,0.9098495104930824,24,0.11531971120958247,0.16195221008086788,0.19976197511599167,0.19976197511599167,0.999748,0.997428,0.5595608949661255,61.947425842285156,0.875,
swin_cifar100_lf_0_01_evade_l1,swin,cifar100,lf,0.01,0.9082475560569524,24,0.08484060925718594,0.10163572159926602,0.16061785179790783,0.16061785179790783,0.999612,0.9949,0.4544089436531067,45.90803146362305,0.9583333333333334,
swin_cifar100_lf_0_05,swin,cifar100,lf,0.05,0.9550299235121746,24,0.0842592854053225,0.14091693320788742,0.13812244869397897,0.13812244869397897,1.0,0.9996799999999999,0.5631173253059387,72.45174407958984,0.9166666666666666,
swin_cifar100_lf_0_05_evade_l1,swin,cifar100,lf,0.05,0.9913510774020716,24,0.020257957005006644,0.14802078115042086,0.12529538221651773,0.12529538221651773,0.999708,0.998856,0.6151211857795715,54.25583267211914,0.875,
swin_cifar100_lf_0_1,swin,cifar100,lf,0.1,0.9933171660835736,24,0.05931319552468242,0.1659207957111109,0.140719283985187,0.15081270554980095,0.99998,0.999972,0.5382115840911865,77.62535095214844,0.875,
swin_cifar100_lf_0_1_evade_l1,swin,cifar100,lf,0.1,0.9706759956247064,24,0.07765722820288687,0.07765722820288687,0.10468103337990514,0.10468103337990514,0.999976,0.9989680000000001,0.39903441071510315,47.429649353027344,1.0,
swin_cifar100_sig_0_01_evade_l1,swin,cifar100,sig,0.01,0.6745319046454172,24,0.640692074160066,0.7424981198882057,0.640771595290011,0.6856321253872342,0.999904,0.985712,0.0068635959178209305,13.514263153076172,0.9583333333333334,
swin_cifar100_sig_0_05_evade_l1,swin,cifar100,sig,0.05,0.6540540861945601,24,0.585599661489304,0.7581682115379068,0.6719018132935229,0.7048825860312942,0.999852,0.987624,0.053025539964437485,11.916624069213867,0.8333333333333334,
swin_cifar100_sig_0_1_evade_l1,swin,cifar100,sig,0.1,0.645987487873565,24,0.15979657839716285,0.7934382267146772,0.5229958311562288,0.7396621280450043,0.999036,0.788232,0.5992133021354675,11.495712280273438,0.6666666666666666,
swin_cifar100_tact_0_01_evade_l1,swin,cifar100,tact,0.01,0.5588616894044389,24,0.8537585498423392,0.9844905775149096,0.8915390051993098,0.9640424217807644,0.993544,0.993544,0.28755152225494385,13.32735538482666,0.9583333333333334,
swin_cifar100_tact_0_05_evade_l1,swin,cifar100,tact,0.05,0.5704755158748053,24,0.7989564856211645,0.9710032597601711,0.8255653257653296,0.947503419018891,0.991328,0.9734720000000001,0.28816038370132446,14.845990180969238,0.9583333333333334,
swin_cifar100_tact_0_1_evade_l1,swin,cifar100,tact,0.1,0.5340678936696717,24,0.6221812218728058,0.9586053801069905,0.7481765218686762,0.9408469852546376,0.97502,0.88226,0.4997238218784332,9.55078125,0.9583333333333334,
swin_cifar100_wanet_0_01,swin,cifar100,wanet,0.01,0.5968766772989545,24,0.9721913166377403,0.990550987902981,0.9661389364007338,0.9661389364007338,0.8757839999999999,0.7563,0.6023241281509399,8.28610897064209,0.625,
swin_cifar100_wanet_0_01_evade_l1,swin,cifar100,wanet,0.01,0.5790692005910876,24,0.823346408755259,0.8422420370466601,0.9117194183227197,0.9304523444428808,0.829908,0.7021999999999999,0.5886377692222595,6.282824993133545,0.9583333333333334,
swin_cifar100_wanet_0_05,swin,cifar100,wanet,0.05,0.9267244079845516,24,0.20905716209639436,0.25805225635503365,0.3129313302459758,0.34241040352169083,0.997452,0.993352,0.551000714302063,60.01469421386719,0.9583333333333334,
swin_cifar100_wanet_0_05_evade_l1,swin,cifar100,wanet,0.05,0.7535305354706453,24,0.20021124920857544,0.5888985348992478,0.43142568379443635,0.6634449909027343,0.977104,0.90312,0.6123482584953308,20.687238693237305,0.9583333333333334,
swin_cifar100_wanet_0_1,swin,cifar100,wanet,0.1,0.9688139099537132,24,0.12515351344646683,0.12515351344646683,0.19063482751308272,0.19063482751308272,0.9994959999999999,0.997752,0.7396152019500732,94.596435546875,1.0,
swin_cifar100_wanet_0_1_evade_l1,swin,cifar100,wanet,0.1,0.9045526916794796,24,0.06470504100821335,0.08075736247606825,0.13731759178267025,0.13917927790778084,0.998696,0.994176,0.4697110056877136,48.567440032958984,0.9583333333333334,
swin_cifar10_adaptive_blend_0_05,swin,cifar10,adaptive_blend,0.05,0.9801848765432098,24,0.5779122867381146,0.8115841713570155,0.4862697033445481,0.4862697033445481,1.0,0.996604,0.6731945872306824,48.282958984375,0.4166666666666667,
swin_cifar10_adaptive_blend_0_1,swin,cifar10,adaptive_blend,0.1,0.990371875,24,0.6364258470476973,1.1089036953466826,0.6018861433549415,0.6018861433549415,1.0,0.999,0.6997025012969971,39.3618049621582,0.16666666666666666,
swin_cifar10_badnet_a2a_0_01,swin,cifar10,badnet_a2a,0.01,0.6091339453125,24,0.7226228404900259,0.7226228404900259,0.7097795945066152,0.7097795945066152,0.99998,0.9621999999999999,0.2510812282562256,15.474604606628418,1.0,
swin_cifar10_badnet_a2a_0_05,swin,cifar10,badnet_a2a,0.05,0.5323328828124999,24,0.8487211777130844,0.8487211777130844,0.8546159193073625,0.8546159193073625,0.999996,0.999576,0.2608878016471863,19.364768981933594,1.0,
swin_cifar10_badnet_a2a_0_1,swin,cifar10,badnet_a2a,0.1,0.5576048515625001,24,0.8670987462776509,0.898959603567609,0.9207623125757917,0.9207623125757917,1.0,0.991304,0.24848951399326324,28.206331253051758,0.9583333333333334,
swin_cifar10_badnet_a2o_0_005,swin,cifar10,badnet_a2o,0.005,0.9873207368827162,24,0.3593695359308047,0.3593695359308047,0.33722113249504376,0.33722113249504376,1.0,0.9958359999999999,0.8216687440872192,39.673553466796875,1.0,
swin_cifar10_badnet_a2o_0_01,swin,cifar10,badnet_a2o,0.01,0.9897666473765432,24,0.42629053994125343,0.42629053994125343,0.39023361051958144,0.39023361051958144,1.0,0.9893919999999999,0.8654102087020874,34.0776252746582,1.0,
swin_cifar10_badnet_a2o_0_05,swin,cifar10,badnet_a2o,0.05,0.9939670331790124,24,0.36875197370944207,0.3812712389050276,0.3123352804456363,0.3123352804456363,1.0,0.99812,0.8606529235839844,38.143741607666016,0.9583333333333334,
swin_cifar10_badnet_a2o_0_1,swin,cifar10,badnet_a2o,0.1,0.9965789544753086,24,0.19508942807476276,0.19508942807476276,0.19553795279404956,0.19553795279404956,1.0,0.9929479999999999,0.9042997360229492,35.25027847290039,1.0,
swin_cifar10_blend_0_005,swin,cifar10,blend,0.005,0.9994496913580246,24,0.35443438644118086,0.9450039508316467,0.1681593112869297,0.1681593112869297,1.0,0.999968,0.6959362030029297,42.99101638793945,0.7916666666666666,
swin_cifar10_blend_0_01,swin,cifar10,blend,0.01,0.9984806327160496,24,0.3459019452063186,0.5764149350860369,0.10808674293709608,0.10808674293709608,1.0,0.999988,0.7846996188163757,45.39323806762695,0.7083333333333334,
swin_cifar10_blend_0_05,swin,cifar10,blend,0.05,0.9990583912037037,24,0.31914166315240083,0.830724809958245,0.14092006474589205,0.14092006474589205,1.0,0.999876,0.638296902179718,40.98836135864258,0.7083333333333334,
swin_cifar10_blend_0_1,swin,cifar10,blend,0.1,0.9997222222222224,24,0.288309654411039,0.8214829629457951,0.15966515113531407,0.15966515113531407,1.0,1.0,0.6603025197982788,52.01276397705078,0.7083333333333334,
swin_cifar10_bpp_0_005,swin,cifar10,bpp,0.005,0.9952341049382716,24,0.10753310359948345,0.21342362293817252,0.06540156671440997,0.06540156671440997,1.0,0.99724,0.8252450227737427,59.99851989746094,0.7916666666666666,
swin_cifar10_bpp_0_01,swin,cifar10,bpp,0.01,0.9972535204475308,24,0.1294621150982771,0.25496975310666764,0.06718340572572384,0.06718340572572384,1.0,0.998584,0.8824872970581055,55.824363708496094,0.75,
swin_cifar10_bpp_0_05,swin,cifar10,bpp,0.05,0.9993030864197532,24,0.07346980854159979,0.15081865625470636,0.07292531282284741,0.07292531282284741,1.0,0.999784,0.7786688804626465,61.02067565917969,0.75,
swin_cifar10_bpp_0_1,swin,cifar10,bpp,0.1,0.9983182677469136,24,0.09813950346415802,0.174521993719606,0.046641680935336986,0.046641680935336986,1.0,0.9997720000000001,0.807975709438324,62.90273666381836,0.75,
swin_cifar10_lc_0_1,swin,cifar10,lc,0.1,0.852300713734568,24,0.8392554522360274,1.0801165297228121,0.7583841303316047,0.7583841303316047,1.0,1.0,0.18987523019313812,43.272823333740234,0.7083333333333334,
swin_cifar10_lf_0_005,swin,cifar10,lf,0.005,0.7697500096450616,24,0.23373905649614984,0.5099978379072359,0.222332295878061,0.31376024262863633,0.9997640000000001,0.9819040000000001,0.7448683381080627,35.99351119995117,0.8333333333333334,
swin_cifar10_lf_0_01,swin,cifar10,lf,0.01,0.8864672743055555,24,0.16474474522815702,0.35499698573117805,0.1403495074901519,0.17121514012558794,0.999988,0.9985039999999998,0.7438074946403503,48.88428497314453,0.8333333333333334,
swin_cifar10_lf_0_05,swin,cifar10,lf,0.05,0.9970312885802468,24,0.18206272761252792,0.25091644440649263,0.1060267174589737,0.1060267174589737,1.0,0.99976,0.702625572681427,55.8017578125,0.8333333333333334,
swin_cifar10_lf_0_1,swin,cifar10,lf,0.1,0.9975912037037036,24,0.2492070581725582,0.3822586270790019,0.13439560748634494,0.13439560748634494,1.0,0.9999359999999999,0.6508898735046387,57.939002990722656,0.8333333333333334,
swin_cifar10_sig_0_1,swin,cifar10,sig,0.1,0.9637932388117284,24,0.2624763249514068,0.7602903943961652,0.37259824807634456,0.47103311073086307,1.0,0.999996,0.01353379338979721,42.9765510559082,0.6666666666666666,
swin_cifar10_wanet_0_05,swin,cifar10,wanet,0.05,0.9772373746141976,24,0.24908216686613197,0.26671041700620407,0.12269702833598019,0.12269702833598019,0.999584,0.999076,0.619905948638916,69.5085678100586,0.9583333333333334,
swin_cifar10_wanet_0_1,swin,cifar10,wanet,0.1,0.5840182966820988,24,0.2631950037223084,0.2631950037223084,0.10584878306961654,0.10584878306961654,0.999712,0.998392,0.596408486366272,62.29454803466797,1.0,
swin_tiny_adaptive_blend_0_01_evade_l1,swin,tiny,adaptive_blend,0.01,0.8073823138786683,24,0.03756798424222783,0.8526311182257743,0.2939855547406615,0.7256280546528145,1.0,0.998628,0.5084617733955383,14.995931625366211,0.8333333333333334,
swin_tiny_adaptive_blend_0_05_evade_l1,swin,tiny,adaptive_blend,0.05,0.9724658102578454,24,0.06600213765600142,0.18153973929024755,0.22694970511059825,0.28593035353741975,1.0,1.0,0.5971423983573914,58.39412307739258,0.9583333333333334,
swin_tiny_adaptive_blend_0_1_evade_l1,swin,tiny,adaptive_blend,0.1,0.9159661256147834,24,0.3230188813862792,0.776084555037828,0.47313398631158515,0.663211639298463,1.0,0.999888,0.49280983209609985,19.903879165649414,0.9583333333333334,
swin_tiny_badnet_a2a_0_01_evade_l1,swin,tiny,badnet_a2a,0.01,0.8659610390625001,24,0.6020323150075951,0.6020323150075951,0.7156965020133758,0.7156965020133758,0.999984,0.999724,0.37882912158966064,9.983832359313965,1.0,
swin_tiny_badnet_a2a_0_05_evade_l1,swin,tiny,badnet_a2a,0.05,0.7618309218750001,24,0.776494573102967,0.9330538252162796,0.7377797487975231,0.7377797487975231,0.999576,0.982076,0.09448693692684174,11.41409683227539,0.9583333333333334,
swin_tiny_badnet_a2a_0_1_evade_l1,swin,tiny,badnet_a2a,0.1,0.579945890625,24,0.9912903400801847,1.0320931127643889,0.7028508354132779,0.7028508354132779,0.9815959999999999,0.9815959999999999,0.10670866817235947,10.447322845458984,0.9166666666666666,
